feature,imp_A,imp_B,imp_ensemble
tempo_vinculo_meses,18.403836472890156,17.307755739903758,17.85579610639696
tipo_vinculo,17.56915184999544,16.21273391456609,16.890942882280765
faixa_remuneracao,7.627343823778638,13.052852018456946,10.340097921117792
tamanho_estab,6.942165525698381,8.03782046755818,7.489992996628281
natureza_juridica,7.20957544877122,5.710021920352695,6.4597986845619575
uf,4.697139973862034,6.905122976358052,5.801131475110043
qtd_dias_afastamento,7.949330097852848,2.6494580349112593,5.299394066382054
natureza_setor,3.9888515946117327,3.5228322913523766,3.7558419429820544
cnae2,3.617661141953951,3.4067246848276453,3.5121929133907983
cbo1,1.8915334950128058,3.056383345936106,2.473958420474456
cbo2,2.0036718010364067,2.6158772102405243,2.3097745056384653
faixa_horas,2.596433047924582,1.9117781863324996,2.2541056171285407
cbo4,1.8683160787318163,2.2245387590106356,2.046427418871226
cbo,1.7960190469633948,2.2473879379480657,2.02170349245573
cnae3,2.0459223649230207,1.9192597916011052,1.9825910782620628
cnae,2.0604860629482715,1.7982905192866347,1.9293882911174531
idade,1.9039725248657344,1.9444972083015102,1.9242348665836224
cnae5,1.391327483834432,2.3804636931589593,1.8858955884966957
causa_afastamento,2.8449375048463676,0.882233348491428,1.8635854266688978
escolaridade,0.48931044764063913,1.2968785559421767,0.8930945017914079
simples,0.9610116881684685,0.6911180613664621,0.8260648747674653
intermitente,0.14200252368970875,0.2259713340969239,0.18398692889331633
