prevista,observada,n
0.030899330487264683,0.021914535924462367,8299651
0.06851252914985838,0.044745106669038096,8293175
0.0950044814886799,0.07777515951166859,8296415
0.11480066608701124,0.09318668036094162,8296411
0.12931397044483084,0.10738985415695643,8296659
0.1443103469075901,0.12038894541425527,8296177
0.1612002057646144,0.14449850941318262,8296397
0.17982621809278515,0.17737118318367978,8296607
0.20365296167751046,0.21656836515415892,8296244
0.30791463422275345,0.3251796625663271,8296386
