categoria,n,n_novo,n_preexist,pct_novo
1,5475632,120419,5355213,2.2
2,995570,59465,936105,5.97
3,6968986,2176281,4792705,31.23
4,3733384,1374977,2358407,36.83
5,4314133,1622278,2691855,37.6
6,5143777,2065761,3078016,40.16
7,6803057,2930591,3872466,43.08
8,6056380,2594103,3462277,42.83
9,5475635,2252658,3222977,41.14
10,6056377,2425293,3631084,40.05
11,5226744,2068902,3157842,39.58
12,4563023,1808556,2754467,39.64
13,3982279,1592942,2389337,40.0
14,3401530,1374013,2027517,40.39
15,3733386,1534037,2199349,41.09
16,3235597,1356870,1878727,41.94
17,1825210,769163,1056047,42.14
18,2157072,900787,1256285,41.76
19,1161498,454819,706679,39.16
20,995568,340910,654658,34.24
21,912606,297525,615081,32.6
22,248893,68196,180697,27.4
23,497785,118393,379392,23.78
