cbo2,cnae2,uf,hazard_estrut,hazard_recente,fator,n
39,43,BA,0.17448512585812356,1.194508009153318,5.0,1748
35,35,MG,0.015585861397161147,0.09796827163929864,5.0,3593
99,81,BA,0.13664008649817544,1.076902284092445,5.0,7399
72,30,PE,0.045093268450932686,0.5034874290348743,5.0,6165
25,35,PR,0.020999580008399833,0.12935741285174296,5.0,2381
41,35,PR,0.014494447691408533,0.18842781998831093,5.0,8555
20,78,RJ,0.059727711901624944,1.025911286780852,5.0,2277
13,72,RJ,0.0071633237822349575,0.04011461318051576,5.0,2094
42,35,PR,0.012014787430683918,0.09611829944547134,5.0,1082
21,36,PE,0.003424657534246575,0.019178082191780823,5.0,1460
71,82,RR,0.1577981651376147,1.3651376146788992,5.0,545
71,27,PE,0.23354321694333144,1.6050372066399543,5.0,1747
