categoria,T_6,T_12,T_18,T_24,T_36,T_48,T_60
1,99.8,99.7,99.5,99.3,98.9,98.5,98.1
2,99.2,98.3,97.3,96.3,94.1,91.7,89.3
3,98.5,97.0,95.3,93.5,90.0,86.4,82.9
4,97.7,95.4,92.9,90.4,85.4,80.5,75.9
5,96.4,93.3,90.0,86.7,80.5,74.7,69.4
6,95.3,91.2,86.8,82.6,74.7,67.6,61.2
7,94.2,89.2,83.6,78.2,68.3,59.8,52.5
8,92.5,86.4,79.6,73.1,61.8,52.5,45.0
9,91.5,83.8,75.6,68.1,55.3,45.4,37.9
10,89.3,79.4,69.8,61.2,47.7,38.0,31.2
11,84.2,73.4,64.2,56.5,44.8,36.4,30.4
12,77.5,64.2,53.9,45.8,34.5,27.2,22.2
13,73.6,54.1,41.1,32.4,22.1,16.6,13.3
14,64.4,42.0,29.6,22.5,15.0,11.3,9.0
