categoria,conf_95,conf_90,conf_85,conf_80
1,91.9,182.2,275.2,372.0
2,38.0,70.2,101.6,133.2
3,15.7,29.4,42.9,56.5
4,10.2,18.1,25.5,32.8
5,8.3,14.7,20.7,26.6
6,6.8,12.2,17.2,22.2
7,5.5,9.9,14.1,18.3
8,4.8,8.6,12.2,15.8
9,4.3,7.7,11.0,14.2
10,3.9,7.0,9.9,12.7
11,3.6,6.3,8.9,11.3
12,3.3,5.8,8.0,10.2
13,3.0,5.2,7.3,9.3
14,2.7,4.7,6.6,8.4
15,2.3,4.1,5.8,7.4
16,1.8,3.4,4.9,6.4
17,1.4,2.7,4.0,5.4
18,0.9,1.9,3.1,4.3
19,0.5,1.2,2.1,3.1
20,0.3,0.7,1.4,2.1
21,0.4,0.8,1.4,2.0
22,0.7,1.2,1.8,2.3
23,0.7,1.1,1.6,2.0
