cbo2,cnae2,tempo_faixa,uf,n,taxa_sjc
71,99,<3m,SP,251,0.9760956175298805
71,99,<3m,SC,246,0.975609756097561
84,74,24-60m,PE,262,0.950381679389313
71,99,<3m,RS,232,0.9267241379310345
33,41,3-6m,RJ,257,0.9260700389105059
84,84,6-12m,ES,270,0.9111111111111111
32,81,3-6m,PA,212,0.9056603773584906
33,49,6-12m,DF,1669,0.8993409227082085
73,77,<3m,PR,483,0.8985507246376812
62,49,6-12m,AL,818,0.8960880195599022
62,19,3-6m,RJ,1004,0.8735059760956175
23,94,6-12m,AP,236,0.8686440677966102
78,70,6-12m,DF,211,0.8672985781990521
78,71,6-12m,TO,354,0.864406779661017
11,99,24-60m,DF,329,0.8571428571428571
62,19,6-12m,BA,4830,0.8538302277432712
64,77,6-12m,GO,843,0.8517200474495848
73,71,6-12m,PA,618,0.8495145631067961
71,49,6-12m,AP,202,0.8465346534653465
86,41,24-60m,AM,268,0.8395522388059702
62,74,3-6m,RJ,360,0.8333333333333334
73,71,6-12m,BA,595,0.8050420168067227
11,99,60+m,DF,1082,0.8040665434380776
64,77,6-12m,AL,234,0.8034188034188035
42,42,12-24m,PE,307,0.7850162866449512
