categoria,n,pct_total,taxa_y,prob_media,idade_media,tempo_anos,dias_afast_mes,anos_estudo,clt_indet%,temp_det%,estatut%,verde_amarelo%,rem_baixa%,rem_alta%,superior%,ate_fund%,publico%,semfins%,simples%,interm%,micro_peq%,grande%,cbo1_distintivo,cnae2_distintivo,uf_distintiva
1,2596090,3.44,0.74,2.02,36.7,5.22,5.29,12.6,73.5,23.2,0.0,0.0,18.5,18.4,33.6,8.0,0.0,16.6,4.1,0.1,19.9,58.7,2(17%/lift2.3); 1(6%/lift1.6),64(6%/lift5.1); 94(6%/lift3.6),RJ(9%/lift1.1); SP(35%/lift1.1)
2,6004711,7.96,2.05,3.58,35.9,3.66,0.34,12.5,79.3,19.3,0.0,0.0,10.5,11.7,26.0,5.6,0.0,14.4,15.9,0.4,28.4,48.7,2(13%/lift1.7); 3(12%/lift1.4),78(7%/lift2.0); 86(9%/lift1.8),SP(35%/lift1.1); RJ(8%/lift1.1)
3,8482338,11.24,3.91,5.31,37.0,4.0,0.22,12.3,78.9,20.3,0.0,0.0,11.9,9.7,23.1,7.1,0.0,11.2,20.6,1.0,35.6,41.4,2(11%/lift1.5); 3(11%/lift1.2),78(6%/lift1.8); 86(8%/lift1.5),SP(34%/lift1.1); RS(7%/lift1.1)
4,8056774,10.67,6.08,7.35,37.8,3.42,0.21,12.1,81.1,17.9,0.0,0.0,12.8,7.6,22.3,8.3,0.0,9.3,20.0,1.1,38.0,36.6,2(11%/lift1.4); 3(10%/lift1.2),86(6%/lift1.2); 47(14%/lift0.9),RS(7%/lift1.1); SC(6%/lift1.1)
5,9482835,12.56,8.71,9.66,37.4,2.75,0.22,12.1,79.5,19.6,0.0,0.0,14.5,5.1,19.8,7.8,0.0,7.3,27.9,1.0,47.4,28.3,2(8%/lift1.1); 3(10%/lift1.1),86(6%/lift1.1); 47(16%/lift1.0),SC(6%/lift1.1); RS(7%/lift1.1)
6,8718937,11.55,11.63,12.48,37.2,2.17,0.25,12.0,80.5,18.7,0.0,0.0,16.1,3.1,17.3,7.3,0.0,5.8,30.7,1.0,51.1,25.4,5(30%/lift1.1); 3(9%/lift1.0),46(5%/lift1.1); 47(18%/lift1.1),SC(6%/lift1.1); PR(7%/lift1.0)
7,7969798,10.56,14.84,15.67,36.8,1.73,0.28,11.9,82.7,16.8,0.0,0.0,13.9,2.0,14.4,7.4,0.0,4.7,32.6,1.2,52.2,23.3,5(31%/lift1.1); 7(23%/lift1.0),82(6%/lift1.2); 47(18%/lift1.1),SC(6%/lift1.1); RS(6%/lift1.0)
8,7313776,9.69,18.69,19.1,35.8,1.36,0.3,11.8,82.6,17.1,0.0,0.0,14.6,1.4,11.9,7.0,0.0,3.6,40.1,1.4,58.7,20.2,5(33%/lift1.2); 4(20%/lift1.0),56(6%/lift1.3); 82(7%/lift1.2),MG(11%/lift1.0); RJ(8%/lift1.0)
9,5907366,7.83,23.32,23.01,34.6,1.13,0.39,11.7,91.9,7.9,0.0,0.0,12.6,1.2,10.3,6.9,0.0,2.8,46.0,1.9,63.9,16.8,5(33%/lift1.2); 7(24%/lift1.1),56(6%/lift1.4); 82(7%/lift1.3),BA(5%/lift1.2); MG(11%/lift1.1)
10,4121258,5.46,29.02,27.26,34.0,0.88,0.56,11.6,93.9,6.0,0.0,0.0,19.4,1.2,9.4,7.3,0.0,2.8,49.7,2.2,69.0,14.2,6(5%/lift1.3); 5(35%/lift1.2),56(8%/lift1.8); 47(20%/lift1.2),MG(13%/lift1.2); RJ(8%/lift1.0)
11,2856239,3.78,36.56,32.98,35.2,0.9,0.88,11.5,94.7,5.3,0.0,0.0,34.1,1.6,9.2,9.1,0.0,2.7,41.2,1.5,63.2,18.1,6(6%/lift1.5); 7(33%/lift1.5),42(6%/lift2.7); 43(7%/lift2.6),BA(5%/lift1.3); MG(12%/lift1.2)
12,1746112,2.31,44.33,39.86,34.8,0.85,0.94,11.2,96.6,3.3,0.0,0.0,36.2,1.7,8.1,11.1,0.0,2.3,43.0,0.8,69.3,13.3,7(43%/lift1.9); 6(7%/lift1.7),41(14%/lift4.3); 42(9%/lift3.9),MG(14%/lift1.3); BA(6%/lift1.3)
13,1338441,1.77,43.27,50.09,37.1,0.89,0.79,10.9,97.8,2.1,0.0,0.0,21.2,2.1,7.4,15.4,0.0,1.4,23.6,0.5,75.2,12.4,7(58%/lift2.6); 5(14%/lift0.5),42(20%/lift8.7); 41(28%/lift8.4),MG(14%/lift1.3); BA(6%/lift1.3)
14,884726,1.17,61.93,66.34,37.1,1.66,0.29,11.2,99.8,0.2,0.0,0.0,27.2,1.2,7.9,12.2,0.0,1.1,55.4,0.3,90.9,5.8,7(41%/lift1.8); 6(6%/lift1.4),42(16%/lift7.1); 41(14%/lift4.3),BA(6%/lift1.5); MG(15%/lift1.4)
