categoria,n,eventos_total,S12,risco_deslig_12m_KM,mediana_meses,RMST12_meses,meses_perdidos,pct_novo
1,5475632,34692,0.99351,0.00649,,11.9675,0.0325,2.2
2,995570,14218,0.9851,0.0149,,11.9338,0.0662,5.97
3,6968986,205579,0.96133,0.03867,,11.8122,0.1878,31.23
4,3733384,154010,0.94255,0.05745,,11.706,0.294,36.83
5,4314133,230831,0.92513,0.07487,,11.6211,0.3789,37.6
6,5143777,340831,0.90624,0.09376,,11.5165,0.4835,40.16
7,6803057,549719,0.88329,0.11671,,11.3788,0.6212,43.08
8,6056380,578124,0.86359,0.13641,,11.2595,0.7405,42.83
9,5475635,601508,0.84711,0.15289,,11.1636,0.8364,41.14
10,6056377,768145,0.82746,0.17254,,11.057,0.943,40.05
11,5226744,758467,0.80548,0.19452,,10.9368,1.0632,39.58
12,4563023,745996,0.78265,0.21735,,10.8037,1.1963,39.64
13,3982279,729611,0.75665,0.24335,,10.6503,1.3497,40.0
14,3401530,693725,0.7285,0.2715,,10.4781,1.5219,40.39
15,3733386,855804,0.69271,0.30729,,10.2507,1.7493,41.09
16,3235597,842762,0.64822,0.35178,,9.9455,2.0545,41.94
17,1825210,530741,0.60601,0.39399,,9.6098,2.3902,42.14
18,2157072,687438,0.57303,0.42697,,9.244,2.756,41.76
19,1161498,411045,0.53715,0.46285,,8.7404,3.2596,39.16
20,995568,397444,0.47823,0.52177,11.0,8.138,3.862,34.24
21,912606,421109,0.34437,0.65563,8.0,7.4973,4.5027,32.6
22,248893,142075,0.1286,0.8714,7.0,6.8528,5.1472,27.4
23,497785,332119,0.02802,0.97198,6.0,6.1906,5.8094,23.78
