categoria,shape_p,escala_lambda_meses,q1_meses,q1_meses_mono,mediana_meses,mediana_meses_mono,media_meses,media_meses_mono,q3_meses,q3_meses_mono
1,1.0514,1549.26,473.7,473.7,1093.3,1093.3,1518.8,1518.8,2113.7,2113.7
2,1.1725,478.67,165.4,165.4,350.2,350.2,453.1,453.1,632.4,632.4
3,1.1484,208.77,70.6,70.6,151.7,151.7,198.8,198.8,277.5,277.5
4,1.2623,107.74,40.2,40.2,80.6,80.6,100.1,100.1,139.6,139.6
5,1.2655,87.1,32.5,32.5,65.2,65.2,80.9,80.9,112.7,112.7
6,1.2468,74.05,27.3,27.3,55.2,55.2,69.0,69.0,96.2,96.2
7,1.2315,61.83,22.5,22.5,45.9,45.9,57.8,57.8,80.6,80.6
8,1.226,53.84,19.5,19.5,39.9,39.9,50.4,50.4,70.3,70.3
9,1.2354,47.85,17.5,17.5,35.6,35.6,44.7,44.7,62.3,62.3
10,1.2535,42.1,15.6,15.6,31.4,31.4,39.2,39.2,54.6,54.6
11,1.2953,36.04,13.8,13.8,27.2,27.2,33.3,33.3,46.4,46.4
12,1.3044,32.35,12.4,12.4,24.4,24.4,29.9,29.9,41.6,41.6
13,1.3034,29.28,11.3,11.3,22.1,22.1,27.0,27.0,37.6,37.6
14,1.2803,27.09,10.2,10.2,20.3,20.3,25.1,25.1,35.0,35.0
15,1.242,24.91,9.1,9.1,18.5,18.5,23.2,23.2,32.4,32.4
16,1.1745,22.92,7.9,7.9,16.8,16.8,21.7,22.2,30.3,30.6
17,1.0705,21.84,6.8,6.8,15.5,15.5,21.3,22.2,29.6,30.6
18,0.9331,21.7,5.7,5.7,14.7,14.7,22.4,22.2,30.8,30.6
19,0.7785,21.29,4.3,4.3,13.3,13.3,24.6,22.2,32.4,30.6
20,0.7098,17.74,3.1,3.1,10.6,10.6,22.2,22.2,28.1,28.1
21,0.8626,11.42,2.7,2.7,7.5,7.5,12.3,12.3,16.7,16.7
22,1.2149,7.87,2.8,2.7,5.8,5.8,7.4,7.4,10.3,10.3
23,1.3038,6.4,2.5,2.5,4.8,4.8,5.9,5.9,8.2,8.2
