categoria,q1_meses_bruto,q1_meses_isotonico,q1_meses_reglog,mediana_meses_bruto,mediana_meses_isotonico,mediana_meses_reglog,media_meses_bruto,media_meses_isotonico,media_meses_reglog,q3_meses_bruto,q3_meses_isotonico,q3_meses_reglog
1,481.0,481.0,116.8,1110.6,1110.6,204.6,1543.2,1543.2,226.2,2147.7,2147.7,317.7
2,197.2,197.2,97.9,429.7,429.7,175.0,569.1,569.1,197.1,794.2,794.2,276.1
3,78.4,78.4,82.1,156.4,156.4,149.6,193.4,193.4,171.8,269.5,269.5,240.0
4,43.6,43.6,68.8,80.5,80.5,128.0,94.3,94.3,149.7,130.4,130.4,208.6
5,35.3,35.3,57.7,64.4,64.4,109.5,74.8,74.8,130.4,103.3,103.3,181.3
6,30.0,30.0,48.3,54.6,54.6,93.6,63.4,63.4,113.7,87.5,87.5,157.6
7,25.5,25.5,40.5,46.3,46.3,80.1,53.7,53.7,99.0,74.0,74.0,136.9
8,22.3,22.3,34.0,40.6,40.6,68.5,47.1,47.1,86.3,65.0,65.0,119.0
9,20.0,20.0,28.5,36.4,36.4,58.6,42.3,42.3,75.2,58.3,58.3,103.5
10,17.9,17.9,23.9,32.7,32.7,50.1,38.1,38.1,65.5,52.6,52.6,89.9
11,16.3,16.3,20.0,29.9,29.9,42.8,35.0,35.0,57.1,48.4,48.4,78.2
12,15.1,15.1,16.8,28.4,28.4,36.6,33.7,33.7,49.8,46.7,46.7,67.9
13,13.9,13.9,14.0,26.6,26.6,31.3,32.0,33.2,43.4,44.4,45.2,59.0
14,12.8,12.8,11.8,25.4,25.4,26.8,31.3,33.2,37.8,43.6,45.2,51.3
15,11.6,11.6,9.9,24.0,24.0,22.9,30.5,33.2,32.9,42.5,45.2,44.6
16,10.2,10.2,8.3,22.6,22.6,19.6,30.2,33.2,28.7,42.2,45.2,38.8
17,9.0,9.0,6.9,21.9,21.9,16.8,32.1,33.2,25.0,44.4,45.2,33.7
18,7.6,7.6,5.8,21.9,21.9,14.3,37.5,33.2,21.8,50.3,45.2,29.3
19,5.7,5.7,4.9,20.7,20.7,12.3,46.2,33.2,19.0,57.4,45.2,25.5
20,3.8,3.8,4.1,15.9,15.9,10.5,42.1,33.2,16.5,49.1,45.2,22.1
21,3.2,3.2,3.4,10.3,10.3,9.0,20.1,20.1,14.4,26.1,26.1,19.2
22,3.1,3.1,2.9,7.0,7.0,7.7,9.5,9.5,12.6,13.3,13.3,16.7
23,2.7,2.7,2.4,5.6,5.6,6.6,7.1,7.1,10.9,10.0,10.0,14.5
