categoria,shape_p,escala_lambda_meses,alpha,R2_ajuste,S12_obs,S12_fit,S24_weib,S36_weib,risco_24m,risco_36m,media_meses,q1_meses,mediana_meses,q3_meses,IQR_meses
1,1.051,1573.98,0.000436,0.9709,0.9935,0.9941,0.9878,0.9813,0.0122,0.0187,1543.2,481.0,1110.6,2147.7,1666.7
2,1.1287,594.6,0.000739,0.9806,0.9854,0.9879,0.9736,0.9587,0.0264,0.0413,569.1,197.2,429.7,794.2,597.0
3,1.2736,208.51,0.001113,0.9904,0.9669,0.974,0.9383,0.8987,0.0617,0.1013,193.4,78.4,156.4,269.5,191.1
4,1.4349,103.88,0.001278,0.9988,0.9534,0.9558,0.885,0.8037,0.115,0.1963,94.3,43.6,80.5,130.4,86.8
5,1.4645,82.66,0.001556,0.9991,0.9394,0.9425,0.8492,0.7438,0.1508,0.2562,74.8,35.3,64.4,103.3,68.0
6,1.4719,70.05,0.001922,0.9987,0.9252,0.9282,0.8133,0.687,0.1867,0.313,63.4,30.0,54.6,87.5,57.4
7,1.4764,59.33,0.00241,0.9988,0.9086,0.9099,0.7689,0.6199,0.2311,0.3801,53.7,25.5,46.3,74.0,48.5
8,1.4727,52.08,0.002964,0.9986,0.8925,0.8912,0.7265,0.5596,0.2735,0.4404,47.1,22.3,40.6,65.0,42.7
9,1.4696,46.68,0.003523,0.998,0.8772,0.873,0.6865,0.5053,0.3135,0.4947,42.3,20.0,36.4,58.3,38.3
10,1.4616,42.07,0.004231,0.9973,0.8592,0.8523,0.6439,0.451,0.3561,0.549,38.1,17.9,32.7,52.6,34.7
11,1.4436,38.57,0.00513,0.9969,0.8394,0.8308,0.604,0.4044,0.396,0.5956,35.0,16.3,29.9,48.4,32.1
12,1.3907,36.94,0.006608,0.9973,0.8192,0.8111,0.5776,0.3811,0.4224,0.6189,33.7,15.1,28.4,46.7,31.6
13,1.3494,34.89,0.008284,0.9973,0.7969,0.7891,0.5469,0.3523,0.4531,0.6477,32.0,13.9,26.6,44.4,30.6
14,1.284,33.78,0.010897,0.9977,0.773,0.7673,0.5247,0.3378,0.4753,0.6622,31.3,12.8,25.4,43.6,30.8
15,1.2106,32.44,0.014814,0.9982,0.743,0.7408,0.4995,0.3217,0.5005,0.6783,30.5,11.6,24.0,42.5,30.9
16,1.1102,31.42,0.021772,0.9986,0.7056,0.7093,0.4764,0.3125,0.5236,0.6875,30.2,10.2,22.6,42.2,31.9
17,0.9826,31.83,0.033364,0.9986,0.6685,0.6815,0.4688,0.3235,0.5312,0.6765,32.1,9.0,21.9,44.4,35.4
18,0.8342,34.02,0.052737,0.9965,0.6344,0.6576,0.4736,0.3506,0.5264,0.6494,37.5,7.6,21.9,50.3,42.7
19,0.6806,35.52,0.08807,0.9918,0.5908,0.6201,0.4649,0.3645,0.5351,0.6355,46.2,5.7,20.7,57.4,51.7
20,0.6152,28.88,0.126318,0.9907,0.5291,0.5584,0.4096,0.3181,0.5904,0.6819,42.1,3.8,15.9,49.1,45.3
21,0.7458,16.84,0.121755,0.9889,0.4129,0.4599,0.2718,0.1716,0.7282,0.8284,20.1,3.2,10.3,26.1,22.9
22,1.0855,9.85,0.083518,0.9788,0.1932,0.2896,0.0721,0.0168,0.9279,0.9832,9.5,3.1,7.0,13.3,10.2
23,1.1913,7.57,0.08963,0.9616,0.065,0.1773,0.0192,0.0017,0.9808,0.9983,7.1,2.7,5.6,10.0,7.3
