decil,prevista,observada
"(-0.001, 0.0568]",0.018608123894113343,0.03421192162890498
"(0.0568, 0.0836]",0.07075556798860413,0.07442233316493647
"(0.0836, 0.104]",0.09460277755795252,0.08876039868286188
"(0.104, 0.124]",0.11422578221772349,0.10684652753995046
"(0.124, 0.144]",0.13307310264159022,0.11971836284501915
"(0.144, 0.167]",0.15582081559666888,0.14172566075321155
"(0.167, 0.19]",0.17870750108720979,0.16472556549219336
"(0.19, 0.219]",0.20399666828420562,0.1856803002173758
"(0.219, 0.266]",0.237996302285361,0.2022977849756285
"(0.266, 1.0]",0.3535694511626514,0.28756951612729614
